##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
21,Julia Roth,*,37,9-16,0-0,4-4,2-11,13,2,4,1,0,3,22,Susquehanna,Susquehanna_Colby_12-30-2023
00,Julia Pinckert,*,32,5-11,2-4,3-3,1-2,3,2,3,4,0,1,15,Susquehanna,Susquehanna_Colby_12-30-2023
03,Kenzie Selvaggi,*,30,4-12,2-8,3-4,0-1,1,0,2,1,0,0,13,Susquehanna,Susquehanna_Colby_12-30-2023
12,Carly George,*,23,3-7,0-0,0-0,1-2,3,4,1,1,1,0,6,Susquehanna,Susquehanna_Colby_12-30-2023
30,Kaitlyn Lynch,*,28,1-4,1-2,0-0,0-2,2,3,0,2,0,1,3,Susquehanna,Susquehanna_Colby_12-30-2023
24,Zoie Maffei,,9,1-2,0-0,1-1,1-3,4,3,1,1,0,0,3,Susquehanna,Susquehanna_Colby_12-30-2023
31,Grace Meehan,,9,1-1,1-1,0-0,0-1,1,2,1,0,0,0,3,Susquehanna,Susquehanna_Colby_12-30-2023
05,Lauren Klein,,19,1-4,0-2,0-0,0-2,2,1,0,1,0,0,2,Susquehanna,Susquehanna_Colby_12-30-2023
15,Annie Greek,,12,0-0,0-0,2-2,1-0,1,1,0,1,0,0,2,Susquehanna,Susquehanna_Colby_12-30-2023
20,Elke Staver,,1,0-0,0-0,0-0,0-0,0,1,0,1,0,0,0,Susquehanna,Susquehanna_Colby_12-30-2023
TM,TMTeam,,0,0-0,0-0,0-0,3-1,4,0,0,0,0,0,0,Susquehanna,Susquehanna_Colby_12-30-2023
17,Amelia Hanscom,*,36,4-9,2-4,9-12,1-4,5,2,3,2,1,0,19,Colby,Susquehanna_Colby_12-30-2023
24,Carter McGloon,*,31,4-8,3-4,0-0,2-4,6,3,0,2,0,0,11,Colby,Susquehanna_Colby_12-30-2023
13,Kate Olenik,*,36,3-14,1-4,3-4,1-4,5,4,3,2,0,2,10,Colby,Susquehanna_Colby_12-30-2023
21,Lydia Mordarski,*,36,3-10,1-5,1-2,1-2,3,3,0,4,1,3,8,Colby,Susquehanna_Colby_12-30-2023
05,Lauren Cho,*,17,0-4,0-1,0-0,0-1,1,1,0,0,1,0,0,Colby,Susquehanna_Colby_12-30-2023
10,Adaobi Nebuwa,,23,3-7,0-1,3-3,3-4,7,2,1,4,1,0,9,Colby,Susquehanna_Colby_12-30-2023
12,Bray Hunter,,4,1-1,0-0,0-0,1-0,1,0,0,0,0,0,2,Colby,Susquehanna_Colby_12-30-2023
15,Lili Nagy,,17,0-2,0-0,0-0,1-0,1,2,0,0,0,0,0,Colby,Susquehanna_Colby_12-30-2023
TM,TMTeam,,0,0-0,0-0,0-0,2-1,3,0,0,0,0,0,0,Colby,Susquehanna_Colby_12-30-2023
